Question;Option A;Option B;Option C;Option D;Correct Answer
Given a binary input image 𝐼 to which we apply the following algorithm: Step 1: Create a copy 𝐶 of input image 𝐼. Step 2: Copy the boundary pixels of 𝐶 into new image 𝐵. Step 3: Compute the reconstruction 𝑅 of 𝐶 from 𝐵. Step 4: Compute output 𝑂 by subtracting 𝑅𝑅 from 𝐼. What does the output image 𝑂 contain?;A. The same objects as the input image whatever the input.;B. The same objects as the input image but with holes filled.;C. The same objects as the input image except the boundary objects.;D. The same objects as the input image but with touching objects separated.;C
Which one of the following lines describes the purpose of convolutional layers in CNNs?;A. Reducing the size of the feature maps.;B. Calculating the dot product of the input and kernels.;C. Applying a nonlinear activation function.;D. Making the network learn faster.;B
Which one of the following lines describes the purpose of transfer learning?;A. Training a model from scratch for each new task.;B. Using a pretrained model and fine-tuning it for a new task.;C. Converting image data to text data to facilitate learning.;D. Combining multiple models into a single model for better performance.;B
Which one of the following lines best describes the key benefit of CNNs over traditional ANNs for image classification?;A. CNNs are computationally less expensive.;B. CNNs automatically learn hierarchical features.;C. CNNs require fewer network layers.;D. CNNs can learn nonlinear mappings.;B
Which one of the following networks is most suited for image segmentation tasks?;A. Multilayer perceptron (MLP);B. Fully convolutional network (FCN);C. Region proposal network (RPN);D. Recurrent neural network (RNN);B
Which one of the following statements about motion analysis is incorrect?;A. Detection of moving objects by subtraction of successive images in a video works best if the background is constant.;B. Sparse motion estimation in a video can be done by template matching and minimising the mutual information measure.;C. Dense motion estimation using optical flow assumes that each small neighbourhood remains constant over time.;D. Optical flow provides an equation for each pixel but requires further constraints to solve the equation uniquely.;B
Which one of the following statements about object tracking is incorrect?;A. The particle filtering method assumes that the dynamics model and the measurement model can be parameterized.;B. The hidden Markov model assumes that the measurements depend only on the current state of the objects.;C. The prediction step of Bayesian inference assumes that the current state of the objects depends only on the previous state.;D. The Kalman filtering method assumes that the dynamics and measurement noise are additive Gaussian.;A
In many image processing operations, the image must be expanded a little bit to solve the boundary problem. Which one of the following types of expansion is implicitly used by the Fourier transform?;A. Padding;B. Clamping;C. Wrapping;D. Mirroring;A
Given a grayscale input image 𝐼, which of the following operations will enhance the edges of the objects?;A. Applying a median filter followed by thresholding.;B. Performing dilation followed by subtraction from the original image.;C. Applying a low-pass filter to smooth the image.;D. Performing erosion followed by thresholding.;B
What is the purpose of applying connected component labeling to a binary image?;A. To convert the image to grayscale.;B. To count and label distinct objects within the image.;C. To enhance the contrast of the image.;D. To remove noise by smoothing.;B
Which of the following describes the effect of morphological closing on a binary image?;A. It fills small holes in the objects.;B. It sharpens the edges of objects.;C. It removes small objects from the image.;D. It reduces the size of the objects.;A
Which operation is most effective for detecting the boundary of objects in a binary image?;A. Erosion followed by dilation.;B. Dilation followed by erosion.;C. Subtraction of an eroded image from the original.;D. Addition of a dilated image to the original.;C
What is the result of applying the morphological gradient operation to a binary image?;A. It enhances the background.;B. It produces an image highlighting the edges of objects.;C. It reduces the contrast of the image.;D. It fills holes in the image.;B
